	Z:\musculoskeletal_gait\align test\New Session\move01.c3d	Z:\musculoskeletal_gait\align test\New Session\move01.c3d	Z:\musculoskeletal_gait\align test\New Session\move01.c3d
	frame	frame	frame
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z
429	-12.304339	21.454374	-140.987335
430	-11.377952	21.849209	-141.072098
431	-10.332818	22.148869	-141.217194
432	-9.396560	22.536682	-141.457474
433	-8.597545	23.053961	-141.685043
434	-7.756840	23.478447	-141.907837
435	-7.179897	23.959269	-142.000626
436	-6.431418	24.400629	-142.250214
437	-5.773274	24.895483	-142.483276
438	-5.141734	25.324427	-142.707962
439	-4.525121	25.711218	-142.920242
440	-3.917958	26.080698	-143.151688
441	-3.237839	26.362549	-143.460068
442	-2.614953	26.554226	-143.729736
443	-1.986136	26.691334	-144.037140
444	-1.300859	26.742191	-144.385590
445	-0.645754	26.734694	-144.753326
446	-0.048208	26.662790	-145.062088
447	0.600805	26.551971	-145.428894
448	1.174331	26.428511	-145.782745
449	1.721535	26.242853	-146.146683
450	2.201004	26.041649	-146.507614
451	2.598226	25.854870	-146.820267
452	2.954207	25.610945	-147.140244
453	3.203795	25.379993	-147.435333
454	3.396960	25.129353	-147.698654
455	3.459846	24.964134	-147.920456
456	3.536569	24.762621	-148.191299
457	3.500798	24.487822	-148.438065
458	3.384999	24.275398	-148.628418
459	3.150482	24.046001	-148.816376
460	2.830768	23.824123	-148.970444
461	2.520868	23.598061	-149.188553
462	2.041847	23.346687	-149.292786
463	1.443919	23.147015	-149.415619
464	0.903741	22.875736	-149.590729
465	0.227734	22.674561	-149.804825
466	-0.554728	22.372982	-149.908905
467	-1.341347	22.049698	-150.102615
468	-2.099194	21.677372	-150.329590
469	-2.857416	21.236645	-150.571518
470	-3.728035	20.810827	-150.840103
471	-4.569138	20.320269	-151.140259
472	-5.417552	19.699282	-151.476669
473	-6.449512	19.096344	-151.697311
474	-7.280035	18.467728	-152.135132
475	-8.232643	17.901400	-152.514008
476	-9.220912	17.138918	-152.919617
477	-10.177262	16.502157	-153.365601
478	-11.287492	15.902926	-153.773026
479	-12.395376	15.287047	-154.242203
480	-13.516433	14.692492	-154.736664
481	-14.726234	14.118999	-155.227142
482	-15.981017	13.597335	-155.771759
483	-17.198601	13.018912	-156.319199
484	-18.477337	12.463323	-156.882553
485	-19.771383	11.922013	-157.443451
486	-21.035727	11.323088	-158.060623
487	-22.315216	10.712684	-158.672775
488	-23.651541	10.100716	-159.286758
489	-24.943674	9.437819	-159.903259
490	-26.239990	8.769472	-160.505508
491	-27.541214	8.116171	-161.106369
492	-28.857948	7.493620	-161.711502
493	-30.151728	6.893035	-162.312210
494	-31.489311	6.321064	-162.900452
495	-32.813259	5.818338	-163.508102
496	-34.093239	5.332649	-164.107895
497	-35.397606	4.871305	-164.693924
498	-36.687843	4.509872	-165.275085
499	-37.939335	4.180795	-165.854279
500	-39.229393	3.915752	-166.426788
501	-40.447105	3.653413	-166.998657
502	-41.684116	3.445872	-167.551208
503	-42.893047	3.250403	-168.111343
504	-44.082405	2.997347	-168.646286
505	-45.235844	2.695582	-169.183884
506	-46.315311	2.350772	-169.700531
507	-47.391171	1.876336	-170.212326
508	-48.462597	1.439510	-170.696075
509	-49.449146	0.936831	-171.180435
510	-50.451832	0.443773	-171.633896
511	-51.408833	0.014845	-172.080658
512	-52.364162	-0.417416	-172.536087
513	-53.366749	-0.794762	-172.951370
514	-54.314804	-1.126893	-173.359253
515	-55.263657	-1.404100	-173.774826
516	-56.247410	-1.593783	-174.143433
517	-57.193481	-1.734419	-174.520721
518	-58.087227	-1.841553	-174.891724
519	-59.016968	-1.893077	-175.203247
520	-59.942013	-1.940898	-175.525589
521	-60.841312	-1.944025	-175.845184
522	-61.697182	-1.955034	-176.121033
523	-62.587635	-1.948462	-176.399963
524	-63.432186	-1.907797	-176.645706
525	-64.249931	-1.896580	-176.903656
526	-65.088554	-1.840992	-177.113342
527	-65.890800	-1.891931	-177.327789
528	-66.666245	-1.894937	-177.524551
529	-67.369865	-1.964927	-177.717026
530	-68.119804	-2.049582	-177.882950
531	-68.831245	-2.127022	-178.046753
532	-69.502007	-2.191815	-178.167511
533	-70.137306	-2.269678	-178.276566
534	-70.740654	-2.324619	-178.389816
535	-71.333298	-2.352905	-178.487122
536	-71.882561	-2.353826	-178.558640
537	-72.395706	-2.348516	-178.614380
538	-72.847183	-2.340825	-178.664871
539	-73.286224	-2.296413	-178.693253
540	-73.684937	-2.298934	-178.724899
541	-74.010086	-2.249104	-178.728088
542	-74.322594	-2.259850	-178.713348
543	-74.566971	-2.333346	-178.683548
544	-74.732544	-2.449776	-178.664185
545	-74.831558	-2.652681	-178.631165
546	-74.892075	-2.852427	-178.559235
547	-74.897392	-3.039801	-178.520203
548	-74.821091	-3.299699	-178.433060
549	-74.668457	-3.528638	-178.348358
550	-74.483734	-3.700048	-178.265869
551	-74.197586	-3.783503	-178.176712
552	-73.921692	-3.816925	-178.087357
553	-73.533104	-3.720931	-177.964386
554	-73.159508	-3.611748	-177.881180
555	-72.697273	-3.425775	-177.754333
556	-72.169914	-3.278076	-177.620010
557	-71.635460	-3.066535	-177.468750
558	-70.998322	-2.897592	-177.365189
559	-70.340729	-2.715873	-177.195419
560	-69.631615	-2.497785	-177.041855
561	-68.831215	-2.298102	-176.891556
562	-68.027786	-2.030081	-176.741013
563	-67.177124	-1.719030	-176.568268
564	-66.251823	-1.376864	-176.406372
565	-65.334061	-1.026786	-176.266159
566	-64.353523	-0.667122	-176.088608
567	-63.304798	-0.348008	-175.944061
568	-62.215389	-0.003458	-175.796021
569	-61.152454	0.305108	-175.630905
570	-60.052883	0.633042	-175.484497
571	-58.877132	0.982823	-175.353714
572	-57.668102	1.220028	-175.252609
573	-56.407257	1.497016	-175.116989
574	-55.140900	1.680653	-175.014374
575	-53.811192	1.837420	-174.928757
576	-52.471279	1.937914	-174.844391
577	-51.101528	2.000573	-174.799942
578	-49.727562	2.002939	-174.749374
579	-48.297260	1.963708	-174.736328
580	-46.850452	1.988301	-174.711899
581	-45.407997	1.955664	-174.715729
582	-43.935806	2.017125	-174.706894
583	-42.538799	2.063565	-174.719727
584	-41.080860	2.051595	-174.732956
585	-39.626217	2.083723	-174.749557
586	-38.189598	2.099274	-174.744965
587	-36.770786	2.122570	-174.756195
588	-35.353729	2.138859	-174.781647
589	-33.928104	2.136352	-174.801437
590	-32.525066	2.199634	-174.808762
591	-31.157879	2.288058	-174.840866
592	-29.779530	2.329209	-174.865768
593	-28.408665	2.385001	-174.903381
594	-27.037588	2.411228	-174.924744
595	-25.734848	2.391251	-174.929428
596	-24.410183	2.326347	-174.971359
597	-23.108313	2.231279	-175.010757
598	-21.821312	2.160881	-175.025574
599	-20.594500	2.093497	-175.036301
600	-19.368301	2.056305	-175.044403
601	-18.214808	2.094096	-175.107986
602	-17.081751	2.155094	-175.135696
603	-15.980635	2.229981	-175.170242
604	-14.972138	2.328960	-175.229568
605	-13.923835	2.479398	-175.282776
606	-12.988370	2.653622	-175.373398
607	-12.073256	2.818962	-175.424789
608	-11.184380	3.008898	-175.510666
609	-10.317490	3.222178	-175.635269
610	-9.513828	3.444276	-175.721680
611	-8.749320	3.634228	-175.844681
612	-7.987058	3.870281	-175.984039
613	-7.310147	4.041684	-176.098602
614	-6.620930	4.246856	-176.261581
615	-5.955503	4.464897	-176.401611
616	-5.349353	4.718251	-176.490494
617	-4.740538	4.948047	-176.610031
618	-4.173401	5.222737	-176.723053
619	-3.590606	5.519710	-176.873550
620	-3.014147	5.823335	-176.975937
621	-2.469432	6.214277	-177.068268
